Modelo,Marca,Procesador,Pulgadas,HDDSize,HDDType,GPU,Gama,Tipo,SalidaHDMI,SalidaVGA,PuertoEthernet,PuertoSD,fingerprint,Touchscreen,LectorDeDisco,BateriaRemovible,RAM,teclado
ThinkPad X140e,Lenovo,AMD A4-5000,Pantalla de 11 pulgadas,512GB de almacenamiento,Disco Duro HDD,GPU Dedicado,Gama Baja,Educacion,Salida HDMI,Salida VGA,Puerto Ethernet,Puerto para tarjeta SD,Sin Lector de Huella,Sin Pantalla touchscreen,Sin Lector de discos integrados,Bateria Removible,4GB RAM,Teclado noRetroiluminado
ThinkPad W510,Lenovo,Intel Core I7-720QM,Pantalla de 15 pulgadas,320GB de almacenamiento,Disco Duro HDD,GPU Dedicado,Gama Alta,Negocio,Sin Salida HDMI,Salida VGA,Puerto Ethernet,Puerto para tarjeta SD,Lector de Huella,Sin Pantalla touchscreen,Lector de discos integrados,Bateria Removible,4GB RAM,Teclado noRetroiluminado
Lenovo Chromebook S330,Lenovo,Mediatek MT8173,Pantalla de 14 pulgadas,32GB de Almacenamiento,Disco Duro SSD,GPU Integrado,Gama Baja,Personal,Salida HDMI,Sin Salida VGA,Sin Puerto Ethernet,Puerto para tarjeta SD,Sin Lector de Huella,Sin Pantalla touchscreen,Sin Lector de discos integrados,Bateria Integrada,4GB RAM,Teclado noRetroiluminado
Y700,Lenovo,Intel Core I7-6700HQ,Pantalla de 15 pulgadas,1TB de almacenamiento,Disco Duro HDD,GPU Dedicado,Gama Alta,Gamer,Salida HDMI,Sin Salida VGA,Puerto Ethernet,Puerto para tarjeta SD,Sin Lector de Huella,Pantalla touchscreen,Sin Lector de discos integrados,Bateria Integrada,8GB RAM,Teclado Retroiluminado
ASUS Chromebook 204,ASUS,Intel Celeron N4000,Pantalla de 11 pulgadas,32GB de Almacenamiento,Disco Duro SSD,GPU Integrado,Gama Baja,Personal,Sin Salida HDMI,Sin Salida VGA,Sin Puerto Ethernet,Puerto para tarjeta SD,Sin Lector de Huella,Sin Pantalla touchscreen,Sin Lector de discos integrados,Bateria Integrada,4GB RAM,Teclado noRetroiluminado
ThinkPad X61T,Lenovo,Intel Core 2 Duo L7500,Pantalla de 12 pulgadas,512GB de almacenamiento,Disco Duro HDD,GPU Integrado,Gama Media,2 en 1,Salida HDMI,Salida VGA,Puerto Ethernet,Puerto para tarjeta SD,Lector de Huella,Pantalla touchscreen,Sin Lector de discos integrados,Bateria Removible,4GB RAM,Teclado noRetroiluminado
MacBook Pro 13,Apple,Apple M1,Pantalla de 13 pulgadas,256GB de almacenamiento,Disco Duro SSD,GPU Integrado,Gama Alta,Personal,Sin Salida HDMI,Sin Salida VGA,Sin Puerto Ethernet,Sin Puerto para tarjeta SD,Lector de Huella,Sin Pantalla touchscreen,Sin Lector de discos integrados,Bateria Integrada,8GB RAM,Teclado Retroiluminado
ThinkPad R400,Lenovo,Intel core 2 Duo T9600,Pantalla de 14 pulgadas,160GB de almacenamiento,Disco Duro HDD,GPU Dedicado,Gama Media,Negocio,Sin Salida HDMI,Salida VGA,Puerto Ethernet,Puerto para tarjeta SD,Sin Lector de Huella,Sin Pantalla touchscreen,Lector de discos integrados,Bateria Removible,3GB RAM,Teclado noRetroiluminado
ASUS Chromebook C423,ASUS,Intel Celeron N3350,Pantalla de 14 pulgadas,64GB de Almacenamiento,Disco Duro SSD,GPU Integrado,Gama Baja,Personal,Sin Salida HDMI,Sin Salida VGA,Sin Puerto Ethernet,Puerto para tarjeta SD,Lector de Huella,Sin Pantalla touchscreen,Sin Lector de discos integrados,Bateria Integrada,4GB RAM,Teclado noRetroiluminado
ASUS Tranformer Book Flip TP200,ASUS,Intel Celeron N3050,Pantalla de 11 pulgadas,32GB de Almacenamiento,Disco Duro SSD,GPU Integrado,Gama Baja,Personal,Salida HDMI,Sin Salida VGA,Sin Puerto Ethernet,Puerto para tarjeta SD,Sin Lector de Huella,Sin Pantalla touchscreen,Sin Lector de discos integrados,Bateria Integrada,2GB RAM,Teclado noRetroiluminado
ThinkPad R61,Lenovo,Intel Core 2 Duo T7500,Pantalla de 14 pulgadas,100GB de almacenamiento,Disco Duro HDD,GPU Dedicado,Gama Media,Negocio,Sin Salida HDMI,Salida VGA,Puerto Ethernet,Puerto para tarjeta SD,Sin Lector de Huella,Sin Pantalla touchscreen,Lector de discos integrados,Bateria Removible,2GB RAM,Teclado noRetroiluminado
Huawei MateBook X Pro,Huawei,Intel Core i5-8250U,Pantalla de 13 pulgadas,256GB de almacenamiento,Disco Duro SSD,GPU Dedicado,Gama Alta,Personal,Sin Salida HDMI,Sin Salida VGA,Sin Puerto Ethernet,Sin Puerto para tarjeta SD,Lector de Huella,Sin Pantalla touchscreen,Sin Lector de discos integrados,Bateria Integrada,8GB RAM,Teclado noRetroiluminado
MacBook Air 13 intel,Apple,Intel Core i3-1000NG4,Pantalla de 13 pulgadas,256GB de almacenamiento,Disco Duro SSD,GPU Integrado,Gama Alta,Personal,Sin Salida HDMI,Sin Salida VGA,Sin Puerto Ethernet,Sin Puerto para tarjeta SD,Lector de Huella,Sin Pantalla touchscreen,Sin Lector de discos integrados,Bateria Integrada,8GB RAM,Teclado Retroiluminado
Alienware 13,Alienware,Intel Core i5-4210U,Pantalla de 13 pulgadas,1TB de almacenamiento,Disco Durro HDD,GPU Dedicado,Gama Alta,Gamer,Salida HDMI,Sin Salida VGA,Puerto Ethernet,Sin Puerto para tarjeta SD,Sin Lector de Huella,Sin Pantalla touchscreen,Sin Lector de discos integrados,Bateria Integrada,16GB RAM,Teclado Retroiluminado
Huawei MateBook D 15,Huawei,AMD Ryzen 5 3500U,Pantalla de 15 pulgadas,256GB de almacenamiento,Disco Duro SSD,GPU Dedicado,Gama Alta,Personal,Salida HDMI,Sin Salida VGA,Sin Puerto Ethernet,Sin Puerto para tarjeta SD,Sin Lector de Huella,Pantalla touchscreen,Sin Lector de discos integrados,Bateria Integrada,8GB RAM,Teclado Retroiluminado
Lenovo Legion 5 15,Lenovo,AMD Ryzen 5 4600H,Pantalla de 15 pulgadas,1TB de almacenamiento,Disco Duro HDD,GPU Dedicado,Gama Alta,Gamer,Salida HDMI,Sin Salida VGA,Puerto Ethernet,Sin Puerto para tarjeta SD,Sin Lector de Huella,Sin Pantalla touchscreen,Sin Lector de discos integrados,Bateria Integrada,32GB RAM,Teclado Retroiluminado
Lenovo YOGA Book,Lenovo,Intel Atom x5-Z8550,Pantalla de 10 pulgadas,64GB de Almacenamiento,Disco Duro SSD,GPU Integrado,Gama Media,2 en 1,Salida HDMI,Sin Salida VGA,Sin Puerto Ethernet,Sin Puerto para tarjeta SD,Sin Lector de Huella,Pantalla touchscreen,Sin Lector de discos integrados,Bateria Integrada,4GB RAM,Teclado noRetroiluminado
